Faculty,Department,Course Title,Course Code,Unit,Level,Course Status,Curriculum Type
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Financial Accounting II","ACC 212","3","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Cost Accounting","ACC 234","3","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Programme Organization And Time-Tabling In Nigerian Schools","EDM 202","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Introduction To Educational Planning And Policy","EDM 204","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","School Business Management","EDM 210","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Educational Management Careers","EDM 212","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Teaching Methods In Educational Management","EDM 214","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Introduction To Administrative Behaviour And School","EDM 218","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Economics Of Education II","EDM 226","2","200","E","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Philosophy Logic and Human Existence and Gender-Based Violence","GNS 212","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","First Aid and Safety Education","HKE 210","2","200","C","CCMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Advanced Financial Accounting II","ACC 302","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Auditing II","ACC 324","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Advanced Management Accounting I","ACC 326","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","EDUCATIONAL FINANCE","EDM 304","2","300","E","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","MANAGING THE TEACHING PROFESSION","EDM 316","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Practicum in Educational Management I","EDM 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","SIWES I","EDM 324","1","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Administration & Management Of Education Resource Centres","EDT 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Developmental Research, Product Packaging & Presentation","EDT 324","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","Philosophical Foundations of Education","EFC 322","2","300","C","BMAS"
"FACULTY OF EDUCATION","EDUCATIONAL MANAGEMENT (ACCOUNTING EDUCATION OPTION)","PRACTICAL ENT 302:  ANIMAL HUSBANDRY (BEE KEEPING)","ENT 302-1","2","300","C","BMAS"
